"","Passenger.Name","Passenger.Sex","Passsenger.Age","Passenger.Survived","Passenger.Class"
"371","Christy, Miss. Julie Rachel","Female",25,"YES","2nd Class"
"372","Christy, Mrs. (Alice Frances)","Female",45,"YES","2nd Class"
"373","Clarke, Mr. Charles Valentine","Male",29,"NO","2nd Class"
"374","Clarke, Mrs. Charles V (Ada Maria Winfield)","Female",28,"YES","2nd Class"
"375","Coleridge, Mr. Reginald Charles","Male",29,"NO","2nd Class"
"376","Collander, Mr. Erik Gustaf","Male",28,"NO","2nd Class"
"377","Collett, Mr. Sidney C Stuart","Male",24,"YES","2nd Class"
"378","Collyer, Miss. Marjorie ""Lottie""","Female",8,"YES","2nd Class"
"379","Collyer, Mr. Harvey","Male",31,"NO","2nd Class"
"380","Collyer, Mrs. Harvey (Charlotte Annie Tate)","Female",31,"YES","2nd Class"
"381","Cook, Mrs. (Selena Rogers)","Female",22,"YES","2nd Class"
"382","Corbett, Mrs. Walter H (Irene Colvin)","Female",30,"NO","2nd Class"
"383","Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)","Female",NA,"NO","2nd Class"
"384","Cotterill, Mr. Henry ""Harry""","Male",21,"NO","2nd Class"
"385","Cunningham, Mr. Alfred Fleming","Male",NA,"NO","2nd Class"
"386","Davies, Master. John Morgan Jr","Male",8,"YES","2nd Class"
"387","Davies, Mr. Charles Henry","Male",18,"NO","2nd Class"
"388","Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ","Female",48,"YES","2nd Class"
"389","Davis, Miss. Mary","Female",28,"YES","2nd Class"
"390","de Brito, Mr. Jose Joaquim","Male",32,"NO","2nd Class"
"391","Deacon, Mr. Percy William","Male",17,"NO","2nd Class"
"392","del Carlo, Mr. Sebastiano","Male",29,"NO","2nd Class"
"393","del Carlo, Mrs. Sebastiano (Argenia Genovesi)","Female",24,"YES","2nd Class"
"394","Denbury, Mr. Herbert","Male",25,"NO","2nd Class"
"395","Dibden, Mr. William","Male",18,"NO","2nd Class"
"396","Doling, Miss. Elsie","Female",18,"YES","2nd Class"
"397","Doling, Mrs. John T (Ada Julia Bone)","Female",34,"YES","2nd Class"
"398","Downton, Mr. William James","Male",54,"NO","2nd Class"
"399","Drew, Master. Marshall Brines","Male",8,"YES","2nd Class"
"400","Drew, Mr. James Vivian","Male",42,"NO","2nd Class"
"401","Drew, Mrs. James Vivian (Lulu Thorne Christian)","Female",34,"YES","2nd Class"
"402","Duran y More, Miss. Asuncion","Female",27,"YES","2nd Class"
"403","Duran y More, Miss. Florentina","Female",30,"YES","2nd Class"
"404","Eitemiller, Mr. George Floyd","Male",23,"NO","2nd Class"
"405","Enander, Mr. Ingvar","Male",21,"NO","2nd Class"
"406","Fahlstrom, Mr. Arne Jonas","Male",18,"NO","2nd Class"
"407","Faunthorpe, Mr. Harry","Male",40,"NO","2nd Class"
"408","Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","Female",29,"YES","2nd Class"
"409","Fillbrook, Mr. Joseph Charles","Male",18,"NO","2nd Class"
"410","Fox, Mr. Stanley Hubert","Male",36,"NO","2nd Class"
"411","Frost, Mr. Anthony Wood ""Archie""","Male",NA,"NO","2nd Class"
"412","Funk, Miss. Annie Clemmer","Female",38,"NO","2nd Class"
"413","Fynney, Mr. Joseph J","Male",35,"NO","2nd Class"
"414","Gale, Mr. Harry","Male",38,"NO","2nd Class"
"415","Gale, Mr. Shadrach","Male",34,"NO","2nd Class"
"416","Garside, Miss. Ethel","Female",34,"YES","2nd Class"
"417","Gaskell, Mr. Alfred","Male",16,"NO","2nd Class"
"418","Gavey, Mr. Lawrence","Male",26,"NO","2nd Class"
"419","Gilbert, Mr. William","Male",47,"NO","2nd Class"
"420","Giles, Mr. Edgar","Male",21,"NO","2nd Class"
"421","Giles, Mr. Frederick Edward","Male",21,"NO","2nd Class"
"422","Giles, Mr. Ralph","Male",24,"NO","2nd Class"
"423","Gill, Mr. John William","Male",24,"NO","2nd Class"
"424","Gillespie, Mr. William Henry","Male",34,"NO","2nd Class"
"425","Givard, Mr. Hans Kristensen","Male",30,"NO","2nd Class"
"426","Greenberg, Mr. Samuel","Male",52,"NO","2nd Class"
"427","Hale, Mr. Reginald","Male",30,"NO","2nd Class"
"428","Hamalainen, Master. Viljo","Male",0,"YES","2nd Class"
"429","Hamalainen, Mrs. William (Anna)","Female",24,"YES","2nd Class"
"430","Harbeck, Mr. William H","Male",44,"NO","2nd Class"
"431","Harper, Miss. Annie Jessie ""Nina""","Female",6,"YES","2nd Class"
"432","Harper, Rev. John","Male",28,"NO","2nd Class"
"433","Harris, Mr. George","Male",62,"YES","2nd Class"
"434","Harris, Mr. Walter","Male",30,"NO","2nd Class"
"435","Hart, Miss. Eva Miriam","Female",7,"YES","2nd Class"
"436","Hart, Mr. Benjamin","Male",43,"NO","2nd Class"
"437","Hart, Mrs. Benjamin (Esther Ada Bloomfield)","Female",45,"YES","2nd Class"
"438","Herman, Miss. Alice","Female",24,"YES","2nd Class"
"439","Herman, Miss. Kate","Female",24,"YES","2nd Class"
"440","Herman, Mr. Samuel","Male",49,"NO","2nd Class"
"441","Herman, Mrs. Samuel (Jane Laver)","Female",48,"YES","2nd Class"
"442","Hewlett, Mrs. (Mary D Kingcome) ","Female",55,"YES","2nd Class"
"443","Hickman, Mr. Leonard Mark","Male",24,"NO","2nd Class"
"444","Hickman, Mr. Lewis","Male",32,"NO","2nd Class"
"445","Hickman, Mr. Stanley George","Male",21,"NO","2nd Class"
"446","Hiltunen, Miss. Marta","Female",18,"NO","2nd Class"
"447","Hocking, Miss. Ellen ""Nellie""","Female",20,"YES","2nd Class"
"448","Hocking, Mr. Richard George","Male",23,"NO","2nd Class"
"449","Hocking, Mr. Samuel James Metcalfe","Male",36,"NO","2nd Class"
"450","Hocking, Mrs. Elizabeth (Eliza Needs)","Female",54,"YES","2nd Class"
"451","Hodges, Mr. Henry Price","Male",50,"NO","2nd Class"
"452","Hold, Mr. Stephen","Male",44,"NO","2nd Class"
"453","Hold, Mrs. Stephen (Annie Margaret Hill)","Female",29,"YES","2nd Class"
"454","Hood, Mr. Ambrose Jr","Male",21,"NO","2nd Class"
"455","Hosono, Mr. Masabumi","Male",42,"YES","2nd Class"
"456","Howard, Mr. Benjamin","Male",63,"NO","2nd Class"
"457","Howard, Mrs. Benjamin (Ellen Truelove Arman)","Female",60,"NO","2nd Class"
"458","Hunt, Mr. George Henry","Male",33,"NO","2nd Class"
"459","Ilett, Miss. Bertha","Female",17,"YES","2nd Class"
"460","Jacobsohn, Mr. Sidney Samuel","Male",42,"NO","2nd Class"
"461","Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)","Female",24,"YES","2nd Class"
"462","Jarvis, Mr. John Denzil","Male",47,"NO","2nd Class"
"463","Jefferys, Mr. Clifford Thomas","Male",24,"NO","2nd Class"
"464","Jefferys, Mr. Ernest Wilfred","Male",22,"NO","2nd Class"
"465","Jenkin, Mr. Stephen Curnow","Male",32,"NO","2nd Class"
"466","Jerwan, Mrs. Amin S (Marie Marthe Thuillard)","Female",23,"YES","2nd Class"
"467","Kantor, Mr. Sinai","Male",34,"NO","2nd Class"
"468","Kantor, Mrs. Sinai (Miriam Sternin)","Female",24,"YES","2nd Class"
"469","Karnes, Mrs. J Frank (Claire Bennett)","Female",22,"NO","2nd Class"
"470","Keane, Miss. Nora A","Female",NA,"YES","2nd Class"
"471","Keane, Mr. Daniel","Male",35,"NO","2nd Class"
"472","Kelly, Mrs. Florence ""Fannie""","Female",45,"YES","2nd Class"
"473","Kirkland, Rev. Charles Leonard","Male",57,"NO","2nd Class"
"474","Knight, Mr. Robert J","Male",NA,"NO","2nd Class"
"475","Kvillner, Mr. Johan Henrik Johannesson","Male",31,"NO","2nd Class"
"476","Lahtinen, Mrs. William (Anna Sylfven)","Female",26,"NO","2nd Class"
"477","Lahtinen, Rev. William","Male",30,"NO","2nd Class"
"478","Lamb, Mr. John Joseph","Male",NA,"NO","2nd Class"
"479","Laroche, Miss. Louise","Female",1,"YES","2nd Class"
"480","Laroche, Miss. Simonne Marie Anne Andree","Female",3,"YES","2nd Class"
"481","Laroche, Mr. Joseph Philippe Lemercier","Male",25,"NO","2nd Class"
"482","Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)","Female",22,"YES","2nd Class"
"483","Lehmann, Miss. Bertha","Female",17,"YES","2nd Class"
"484","Leitch, Miss. Jessie Wills","Female",NA,"YES","2nd Class"
"485","Lemore, Mrs. (Amelia Milley)","Female",34,"YES","2nd Class"
"486","Levy, Mr. Rene Jacques","Male",36,"NO","2nd Class"
"487","Leyson, Mr. Robert William Norman","Male",24,"NO","2nd Class"
"488","Lingane, Mr. John","Male",61,"NO","2nd Class"
"489","Louch, Mr. Charles Alexander","Male",50,"NO","2nd Class"
"490","Louch, Mrs. Charles Alexander (Alice Adelaide Slow)","Female",42,"YES","2nd Class"
"491","Mack, Mrs. (Mary)","Female",57,"NO","2nd Class"
"492","Malachard, Mr. Noel","Male",NA,"NO","2nd Class"
"493","Mallet, Master. Andre","Male",1,"YES","2nd Class"
"494","Mallet, Mr. Albert","Male",31,"NO","2nd Class"
"495","Mallet, Mrs. Albert (Antoinette Magnin)","Female",24,"YES","2nd Class"
"496","Mangiavacchi, Mr. Serafino Emilio","Male",NA,"NO","2nd Class"
"497","Matthews, Mr. William John","Male",30,"NO","2nd Class"
"498","Maybery, Mr. Frank Hubert","Male",40,"NO","2nd Class"
"499","McCrae, Mr. Arthur Gordon","Male",32,"NO","2nd Class"
"500","McCrie, Mr. James Matthew","Male",30,"NO","2nd Class"
"501","McKane, Mr. Peter David","Male",46,"NO","2nd Class"
"502","Mellinger, Miss. Madeleine Violet","Female",13,"YES","2nd Class"
"503","Mellinger, Mrs. (Elizabeth Anne Maidment)","Female",41,"YES","2nd Class"
"504","Mellors, Mr. William John","Male",19,"YES","2nd Class"
"505","Meyer, Mr. August","Male",39,"NO","2nd Class"
"506","Milling, Mr. Jacob Christian","Male",48,"NO","2nd Class"
"507","Mitchell, Mr. Henry Michael","Male",70,"NO","2nd Class"
"508","Montvila, Rev. Juozas","Male",27,"NO","2nd Class"
"509","Moraweck, Dr. Ernest","Male",54,"NO","2nd Class"
"510","Morley, Mr. Henry Samuel (""Mr Henry Marshall"")","Male",39,"NO","2nd Class"
"511","Mudd, Mr. Thomas Charles","Male",16,"NO","2nd Class"
"512","Myles, Mr. Thomas Francis","Male",62,"NO","2nd Class"
"513","Nasser, Mr. Nicholas","Male",32,"NO","2nd Class"
"514","Nasser, Mrs. Nicholas (Adele Achem)","Female",14,"YES","2nd Class"
"515","Navratil, Master. Edmond Roger","Male",2,"YES","2nd Class"
"516","Navratil, Master. Michel M","Male",3,"YES","2nd Class"
"517","Navratil, Mr. Michel (""Louis M Hoffman"")","Male",36,"NO","2nd Class"
"518","Nesson, Mr. Israel","Male",26,"NO","2nd Class"
"519","Nicholls, Mr. Joseph Charles","Male",19,"NO","2nd Class"
"520","Norman, Mr. Robert Douglas","Male",28,"NO","2nd Class"
"521","Nourney, Mr. Alfred (""Baron von Drachstedt"")","Male",20,"YES","2nd Class"
"522","Nye, Mrs. (Elizabeth Ramell)","Female",29,"YES","2nd Class"
"523","Otter, Mr. Richard","Male",39,"NO","2nd Class"
"524","Oxenham, Mr. Percy Thomas","Male",22,"YES","2nd Class"
"525","Padro y Manent, Mr. Julian","Male",NA,"YES","2nd Class"
"526","Pain, Dr. Alfred","Male",23,"NO","2nd Class"
"527","Pallas y Castello, Mr. Emilio","Male",29,"YES","2nd Class"
"528","Parker, Mr. Clifford Richard","Male",28,"NO","2nd Class"
"529","Parkes, Mr. Francis ""Frank""","Male",NA,"NO","2nd Class"
"530","Parrish, Mrs. (Lutie Davis)","Female",50,"YES","2nd Class"
"531","Pengelly, Mr. Frederick William","Male",19,"NO","2nd Class"
"532","Pernot, Mr. Rene","Male",NA,"NO","2nd Class"
"533","Peruschitz, Rev. Joseph Maria","Male",41,"NO","2nd Class"
"534","Phillips, Miss. Alice Frances Louisa","Female",21,"YES","2nd Class"
"535","Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")","Female",19,"YES","2nd Class"
"536","Phillips, Mr. Escott Robert","Male",43,"NO","2nd Class"
"537","Pinsky, Mrs. (Rosa)","Female",32,"YES","2nd Class"
"538","Ponesell, Mr. Martin","Male",34,"NO","2nd Class"
"539","Portaluppi, Mr. Emilio Ilario Giuseppe","Male",30,"YES","2nd Class"
"540","Pulbaum, Mr. Franz","Male",27,"NO","2nd Class"
"541","Quick, Miss. Phyllis May","Female",2,"YES","2nd Class"
"542","Quick, Miss. Winifred Vera","Female",8,"YES","2nd Class"
"543","Quick, Mrs. Frederick Charles (Jane Richards)","Female",33,"YES","2nd Class"
"544","Reeves, Mr. David","Male",36,"NO","2nd Class"
"545","Renouf, Mr. Peter Henry","Male",34,"NO","2nd Class"
"546","Renouf, Mrs. Peter Henry (Lillian Jefferys)","Female",30,"YES","2nd Class"
"547","Reynaldo, Ms. Encarnacion","Female",28,"YES","2nd Class"
"548","Richard, Mr. Emile","Male",23,"NO","2nd Class"
"549","Richards, Master. George Sibley","Male",0,"YES","2nd Class"
"550","Richards, Master. William Rowe","Male",3,"YES","2nd Class"
"551","Richards, Mrs. Sidney (Emily Hocking)","Female",24,"YES","2nd Class"
"552","Ridsdale, Miss. Lucy","Female",50,"YES","2nd Class"
"553","Rogers, Mr. Reginald Harry","Male",19,"NO","2nd Class"
"554","Rugg, Miss. Emily","Female",21,"YES","2nd Class"
"555","Schmidt, Mr. August","Male",26,"NO","2nd Class"
"556","Sedgwick, Mr. Charles Frederick Waddington","Male",25,"NO","2nd Class"
"557","Sharp, Mr. Percival James R","Male",27,"NO","2nd Class"
"558","Shelley, Mrs. William (Imanita Parrish Hall)","Female",25,"YES","2nd Class"
"559","Silven, Miss. Lyyli Karoliina","Female",18,"YES","2nd Class"
"560","Sincock, Miss. Maude","Female",20,"YES","2nd Class"
"561","Sinkkonen, Miss. Anna","Female",30,"YES","2nd Class"
"562","Sjostedt, Mr. Ernst Adolf","Male",59,"NO","2nd Class"
"563","Slayter, Miss. Hilda Mary","Female",30,"YES","2nd Class"
"564","Slemen, Mr. Richard James","Male",35,"NO","2nd Class"
"565","Smith, Miss. Marion Elsie","Female",40,"YES","2nd Class"
"566","Sobey, Mr. Samuel James Hayden","Male",25,"NO","2nd Class"
"567","Stanton, Mr. Samuel Ward","Male",41,"NO","2nd Class"
"568","Stokes, Mr. Philip Joseph","Male",25,"NO","2nd Class"
"569","Swane, Mr. George","Male",18,"NO","2nd Class"
"570","Sweet, Mr. George Frederick","Male",14,"NO","2nd Class"
"571","Toomey, Miss. Ellen","Female",50,"YES","2nd Class"
"572","Troupiansky, Mr. Moses Aaron","Male",23,"NO","2nd Class"
"573","Trout, Mrs. William H (Jessie L)","Female",28,"YES","2nd Class"
"574","Troutt, Miss. Edwina Celia ""Winnie""","Female",27,"YES","2nd Class"
"575","Turpin, Mr. William John Robert","Male",29,"NO","2nd Class"
"576","Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)","Female",27,"NO","2nd Class"
"577","Veal, Mr. James","Male",40,"NO","2nd Class"
"578","Walcroft, Miss. Nellie","Female",31,"YES","2nd Class"
"579","Ware, Mr. John James","Male",30,"NO","2nd Class"
"580","Ware, Mr. William Jeffery","Male",23,"NO","2nd Class"
"581","Ware, Mrs. John James (Florence Louise Long)","Female",31,"YES","2nd Class"
"582","Watson, Mr. Ennis Hastings","Male",NA,"NO","2nd Class"
"583","Watt, Miss. Bertha J","Female",12,"YES","2nd Class"
"584","Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","Female",40,"YES","2nd Class"
"585","Webber, Miss. Susan","Female",32,"YES","2nd Class"
"586","Weisz, Mr. Leopold","Male",27,"NO","2nd Class"
"587","Weisz, Mrs. Leopold (Mathilde Francoise Pede)","Female",29,"YES","2nd Class"
"588","Wells, Master. Ralph Lester","Male",2,"YES","2nd Class"
"589","Wells, Miss. Joan","Female",4,"YES","2nd Class"
"590","Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)","Female",29,"YES","2nd Class"
"591","West, Miss. Barbara J","Female",0,"YES","2nd Class"
"592","West, Miss. Constance Mirium","Female",5,"YES","2nd Class"
"593","West, Mr. Edwy Arthur","Male",36,"NO","2nd Class"
"594","West, Mrs. Edwy Arthur (Ada Mary Worth)","Female",33,"YES","2nd Class"
"595","Wheadon, Mr. Edward H","Male",66,"NO","2nd Class"
"596","Wheeler, Mr. Edwin ""Frederick""","Male",NA,"NO","2nd Class"
"597","Wilhelms, Mr. Charles","Male",31,"YES","2nd Class"
"598","Williams, Mr. Charles Eugene","Male",NA,"YES","2nd Class"
"599","Wright, Miss. Marion","Female",26,"YES","2nd Class"
"600","Yrois, Miss. Henriette (""Mrs Harbeck"")","Female",24,"NO","2nd Class"
"601","Abbing, Mr. Anthony","Male",42,"NO","3rd Class"
"602","Abbott, Master. Eugene Joseph","Male",13,"NO","3rd Class"
"603","Abbott, Mr. Rossmore Edward","Male",16,"NO","3rd Class"
"604","Abbott, Mrs. Stanton (Rosa Hunt)","Female",35,"YES","3rd Class"
"605","Abelseth, Miss. Karen Marie","Female",16,"YES","3rd Class"
"606","Abelseth, Mr. Olaus Jorgensen","Male",25,"YES","3rd Class"
"607","Abrahamsson, Mr. Abraham August Johannes","Male",20,"YES","3rd Class"
"608","Abrahim, Mrs. Joseph (Sophie Halaut Easu)","Female",18,"YES","3rd Class"
"609","Adahl, Mr. Mauritz Nils Martin","Male",30,"NO","3rd Class"
"610","Adams, Mr. John","Male",26,"NO","3rd Class"
"611","Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","Female",40,"NO","3rd Class"
"612","Aks, Master. Philip Frank","Male",0,"YES","3rd Class"
"613","Aks, Mrs. Sam (Leah Rosen)","Female",18,"YES","3rd Class"
"614","Albimona, Mr. Nassef Cassem","Male",26,"YES","3rd Class"
"615","Alexander, Mr. William","Male",26,"NO","3rd Class"
"616","Alhomaki, Mr. Ilmari Rudolf","Male",20,"NO","3rd Class"
"617","Ali, Mr. Ahmed","Male",24,"NO","3rd Class"
"618","Ali, Mr. William","Male",25,"NO","3rd Class"
"619","Allen, Mr. William Henry","Male",35,"NO","3rd Class"
"620","Allum, Mr. Owen George","Male",18,"NO","3rd Class"
"621","Andersen, Mr. Albert Karvin","Male",32,"NO","3rd Class"
"622","Andersen-Jensen, Miss. Carla Christine Nielsine","Female",19,"YES","3rd Class"
"623","Andersson, Master. Sigvard Harald Elias","Male",4,"NO","3rd Class"
"624","Andersson, Miss. Ebba Iris Alfrida","Female",6,"NO","3rd Class"
"625","Andersson, Miss. Ellis Anna Maria","Female",2,"NO","3rd Class"
"626","Andersson, Miss. Erna Alexandra","Female",17,"YES","3rd Class"
"627","Andersson, Miss. Ida Augusta Margareta","Female",38,"NO","3rd Class"
"628","Andersson, Miss. Ingeborg Constanzia","Female",9,"NO","3rd Class"
"629","Andersson, Miss. Sigrid Elisabeth","Female",11,"NO","3rd Class"
"630","Andersson, Mr. Anders Johan","Male",39,"NO","3rd Class"
"631","Andersson, Mr. August Edvard (""Wennerstrom"")","Male",27,"YES","3rd Class"
"632","Andersson, Mr. Johan Samuel","Male",26,"NO","3rd Class"
"633","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)","Female",39,"NO","3rd Class"
"634","Andreasson, Mr. Paul Edvin","Male",20,"NO","3rd Class"
"635","Angheloff, Mr. Minko","Male",26,"NO","3rd Class"
"636","Arnold-Franchi, Mr. Josef","Male",25,"NO","3rd Class"
"637","Arnold-Franchi, Mrs. Josef (Josefine Franchi)","Female",18,"NO","3rd Class"
"638","Aronsson, Mr. Ernst Axel Algot","Male",24,"NO","3rd Class"
"639","Asim, Mr. Adola","Male",35,"NO","3rd Class"
"640","Asplund, Master. Carl Edgar","Male",5,"NO","3rd Class"
"641","Asplund, Master. Clarence Gustaf Hugo","Male",9,"NO","3rd Class"
"642","Asplund, Master. Edvin Rojj Felix","Male",3,"YES","3rd Class"
"643","Asplund, Master. Filip Oscar","Male",13,"NO","3rd Class"
"644","Asplund, Miss. Lillian Gertrud","Female",5,"YES","3rd Class"
"645","Asplund, Mr. Carl Oscar Vilhelm Gustafsson","Male",40,"NO","3rd Class"
"646","Asplund, Mr. Johan Charles","Male",23,"YES","3rd Class"
"647","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","Female",38,"YES","3rd Class"
"648","Assaf Khalil, Mrs. Mariana (""Miriam"")","Female",45,"YES","3rd Class"
"649","Assaf, Mr. Gerios","Male",21,"NO","3rd Class"
"650","Assam, Mr. Ali","Male",23,"NO","3rd Class"
"651","Attalah, Miss. Malake","Female",17,"NO","3rd Class"
"652","Attalah, Mr. Sleiman","Male",30,"NO","3rd Class"
"653","Augustsson, Mr. Albert","Male",23,"NO","3rd Class"
"654","Ayoub, Miss. Banoura","Female",13,"YES","3rd Class"
"655","Baccos, Mr. Raffull","Male",20,"NO","3rd Class"
"656","Backstrom, Mr. Karl Alfred","Male",32,"NO","3rd Class"
"657","Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","Female",33,"YES","3rd Class"
"658","Baclini, Miss. Eugenie","Female",0,"YES","3rd Class"
"659","Baclini, Miss. Helene Barbara","Female",0,"YES","3rd Class"
"660","Baclini, Miss. Marie Catherine","Female",5,"YES","3rd Class"
"661","Baclini, Mrs. Solomon (Latifa Qurban)","Female",24,"YES","3rd Class"
"662","Badman, Miss. Emily Louisa","Female",18,"YES","3rd Class"
"663","Badt, Mr. Mohamed","Male",40,"NO","3rd Class"
"664","Balkic, Mr. Cerin","Male",26,"NO","3rd Class"
"665","Barah, Mr. Hanna Assi","Male",20,"YES","3rd Class"
"666","Barbara, Miss. Saiide","Female",18,"NO","3rd Class"
"667","Barbara, Mrs. (Catherine David)","Female",45,"NO","3rd Class"
"668","Barry, Miss. Julia","Female",27,"NO","3rd Class"
"669","Barton, Mr. David John","Male",22,"NO","3rd Class"
"670","Beavan, Mr. William Thomas","Male",19,"NO","3rd Class"
"671","Bengtsson, Mr. John Viktor","Male",26,"NO","3rd Class"
"672","Berglund, Mr. Karl Ivar Sven","Male",22,"NO","3rd Class"
"673","Betros, Master. Seman","Male",NA,"NO","3rd Class"
"674","Betros, Mr. Tannous","Male",20,"NO","3rd Class"
"675","Bing, Mr. Lee","Male",32,"YES","3rd Class"
"676","Birkeland, Mr. Hans Martin Monsen","Male",21,"NO","3rd Class"
"677","Bjorklund, Mr. Ernst Herbert","Male",18,"NO","3rd Class"
"678","Bostandyeff, Mr. Guentcho","Male",26,"NO","3rd Class"
"679","Boulos, Master. Akar","Male",6,"NO","3rd Class"
"680","Boulos, Miss. Nourelain","Female",9,"NO","3rd Class"
"681","Boulos, Mr. Hanna","Male",NA,"NO","3rd Class"
"682","Boulos, Mrs. Joseph (Sultana)","Female",NA,"NO","3rd Class"
"683","Bourke, Miss. Mary","Female",NA,"NO","3rd Class"
"684","Bourke, Mr. John","Male",40,"NO","3rd Class"
"685","Bourke, Mrs. John (Catherine)","Female",32,"NO","3rd Class"
"686","Bowen, Mr. David John ""Dai""","Male",21,"NO","3rd Class"
"687","Bradley, Miss. Bridget Delia","Female",22,"YES","3rd Class"
"688","Braf, Miss. Elin Ester Maria","Female",20,"NO","3rd Class"
"689","Braund, Mr. Lewis Richard","Male",29,"NO","3rd Class"
"690","Braund, Mr. Owen Harris","Male",22,"NO","3rd Class"
"691","Brobeck, Mr. Karl Rudolf","Male",22,"NO","3rd Class"
"692","Brocklebank, Mr. William Alfred","Male",35,"NO","3rd Class"
"693","Buckley, Miss. Katherine","Female",18,"NO","3rd Class"
"694","Buckley, Mr. Daniel","Male",21,"YES","3rd Class"
"695","Burke, Mr. Jeremiah","Male",19,"NO","3rd Class"
"696","Burns, Miss. Mary Delia","Female",18,"NO","3rd Class"
"697","Cacic, Miss. Manda","Female",21,"NO","3rd Class"
"698","Cacic, Miss. Marija","Female",30,"NO","3rd Class"
"699","Cacic, Mr. Jego Grga","Male",18,"NO","3rd Class"
"700","Cacic, Mr. Luka","Male",38,"NO","3rd Class"
"701","Calic, Mr. Jovo","Male",17,"NO","3rd Class"
"702","Calic, Mr. Petar","Male",17,"NO","3rd Class"
"703","Canavan, Miss. Mary","Female",21,"NO","3rd Class"
"704","Canavan, Mr. Patrick","Male",21,"NO","3rd Class"
"705","Cann, Mr. Ernest Charles","Male",21,"NO","3rd Class"
"706","Caram, Mr. Joseph","Male",NA,"NO","3rd Class"
"707","Caram, Mrs. Joseph (Maria Elias)","Female",NA,"NO","3rd Class"
"708","Carlsson, Mr. August Sigfrid","Male",28,"NO","3rd Class"
"709","Carlsson, Mr. Carl Robert","Male",24,"NO","3rd Class"
"710","Carr, Miss. Helen ""Ellen""","Female",16,"YES","3rd Class"
"711","Carr, Miss. Jeannie","Female",37,"NO","3rd Class"
"712","Carver, Mr. Alfred John","Male",28,"NO","3rd Class"
"713","Celotti, Mr. Francesco","Male",24,"NO","3rd Class"
"714","Charters, Mr. David","Male",21,"NO","3rd Class"
"715","Chip, Mr. Chang","Male",32,"YES","3rd Class"
"716","Christmann, Mr. Emil","Male",29,"NO","3rd Class"
"717","Chronopoulos, Mr. Apostolos","Male",26,"NO","3rd Class"
"718","Chronopoulos, Mr. Demetrios","Male",18,"NO","3rd Class"
"719","Coelho, Mr. Domingos Fernandeo","Male",20,"NO","3rd Class"
"720","Cohen, Mr. Gurshon ""Gus""","Male",18,"YES","3rd Class"
"721","Colbert, Mr. Patrick","Male",24,"NO","3rd Class"
"722","Coleff, Mr. Peju","Male",36,"NO","3rd Class"
"723","Coleff, Mr. Satio","Male",24,"NO","3rd Class"
"724","Conlon, Mr. Thomas Henry","Male",31,"NO","3rd Class"
"725","Connaghton, Mr. Michael","Male",31,"NO","3rd Class"
"726","Connolly, Miss. Kate","Female",22,"YES","3rd Class"
"727","Connolly, Miss. Kate","Female",30,"NO","3rd Class"
"728","Connors, Mr. Patrick","Male",70,"NO","3rd Class"
"729","Cook, Mr. Jacob","Male",43,"NO","3rd Class"
"730","Cor, Mr. Bartol","Male",35,"NO","3rd Class"
"731","Cor, Mr. Ivan","Male",27,"NO","3rd Class"
"732","Cor, Mr. Liudevit","Male",19,"NO","3rd Class"
"733","Corn, Mr. Harry","Male",30,"NO","3rd Class"
"734","Coutts, Master. Eden Leslie ""Neville""","Male",9,"YES","3rd Class"
"735","Coutts, Master. William Loch ""William""","Male",3,"YES","3rd Class"
"736","Coutts, Mrs. William (Winnie ""Minnie"" Treanor)","Female",36,"YES","3rd Class"
"737","Coxon, Mr. Daniel","Male",59,"NO","3rd Class"
"738","Crease, Mr. Ernest James","Male",19,"NO","3rd Class"
"739","Cribb, Miss. Laura Alice","Female",17,"YES","3rd Class"
"740","Cribb, Mr. John Hatfield","Male",44,"NO","3rd Class"
"741","Culumovic, Mr. Jeso","Male",17,"NO","3rd Class"
"742","Daher, Mr. Shedid","Male",22,"NO","3rd Class"
"743","Dahl, Mr. Karl Edwart","Male",45,"YES","3rd Class"
"744","Dahlberg, Miss. Gerda Ulrika","Female",22,"NO","3rd Class"
"745","Dakic, Mr. Branko","Male",19,"NO","3rd Class"
"746","Daly, Miss. Margaret Marcella ""Maggie""","Female",30,"YES","3rd Class"
"747","Daly, Mr. Eugene Patrick","Male",29,"YES","3rd Class"
"748","Danbom, Master. Gilbert Sigvard Emanuel","Male",0,"NO","3rd Class"
"749","Danbom, Mr. Ernst Gilbert","Male",34,"NO","3rd Class"
"750","Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)","Female",28,"NO","3rd Class"
